Albania,97,95
Algeria,81,64
Angola,83,58
Antigua and Barbuda,98,99
Argentina,98,98
Armenia,100,99
Aruba,97,97
Azerbaijan,100,100
Bahrain,93,90
Bangladesh,61,52
Belarus,100,99
Benin,55,30
Bhutan,65,39
Bolivia,96,87
Bosnia and Herzegovina,99,96
Botswana,84,85
Brazil,90,90
Brunei Darussalam,97,94
Bulgaria,99,98
Burkina Faso,37,22
Burundi,73,62
Cambodia,83,66
Cameroon,79,63
Cape Verde,89,79
Cayman Islands,99,99
Central African Republic,69,43
Chad,45,24
Chile,99,98
China,97,91
China Macao Special Administrative Region,96,91
Colombia,93,93
Comoros,80,70
Republic of the Congo,80,55
Costa Rica,96,96
Côte d'Ivoire,65,47
Croatia,99,98
Cuba,100,100
Cyprus,99,97
Democratic People's Republic of Korea,100,100
Democratic Republic of the Congo,77,57
Dominican Republic,89,90
Ecuador,93,90
Egypt,80,64
El Salvador,87,82
Equatorial Guinea,97,91
Eritrea,79,58
Estonia,100,100
Ethiopia,49,29
Gabon,92,85
Gambia,60,40
Georgia,100,100
Ghana,73,61
Greece,98,96
Guatemala,81,70
Guinea,52,30
Guinea-Bissau,68,41
Haiti,53,45
Honduras,85,85
Hungary,99,99
India,75,51
Indonesia,96,90
Iran ,89,81
Iraq,86,71
Italy,99,99
Jamaica,82,91
Jordan,96,89
Kazakhstan,100,100
Kenya,91,84
Kuwait,95,92
Kyrgyzstan,100,99
Lao People's Democratic Republic,82,63
Latvia,100,100
Lebanon,93,86
Lesotho,83,96
Liberia,65,57
Libya,96,83
Lithuania,100,100
Madagascar,67,62
Malawi,81,68
Malaysia,95,91
Maldives,98,98
Mali,43,20
Malta,91,94
Mauritania,65,51
Mauritius,91,86
Mexico,94,92
Mongolia,97,98
Montenegro,99,97
Morocco,69,44
Mozambique,71,43
Myanmar,95,90
Namibia,89,88
Nepal,73,48
Netherlands Antilles,96,96
Nicaragua,78,78
Niger,43,15
Nigeria,72,50
Occupied Palestinian Territory,98,92
Oman,90,81
Pakistan,69,40
Panama,95,93
Papua New Guinea,64,57
Paraguay,95,93
Peru,95,85
Philippines,95,96
Poland,100,99
Portugal,97,94
Puerto Rico,90,91
Qatar,97,95
Republic of Moldova,99,98
Romania,98,97
Russia,100,99
Rwanda,75,68
Samoa,99,99
Sao Tome and Principe,94,85
Saudi Arabia,90,81
Senegal,62,39
Serbia,99,97
Seychelles,91,92
Sierra Leone,54,31
Singapore,98,94
Slovenia,100,100
Solomon Islands,84,69
South Africa,91,87
Spain,99,97
Sri Lanka,93,90
Sudan,80,62
Suriname,95,94
Swaziland,88,87
Syrian Arab Republic,90,77
Tajikistan,100,100
Thailand,96,92
TFYR of Macedonia,99,96
Timor-Leste,64,53
Togo,71,44
Tonga,99,99
Trinidad and Tobago,99,98
Tunisia,86,71
Turkey,96,85
Turkmenistan,100,99
Uganda,83,65
Ukraine,100,100
United Arab Emirates,89,91
United Republic of Tanzania,79,67
Uruguay,98,98
Uzbekistan,100,99
Vanuatu,84,81
Venezuela,96,95
Viet Nam,95,91
Yemen,81,47
Zambia,81,62
Zimbabwe,95,90
Canada,99,99
United States,99,99
Australia,96,96
Greenland,100,100
Norway,100,100
Finland,100,100
Sweden,99,99
Iceland,99,99
Iran,89,81
France,99,99
Germany,99,99
United Kingdom,99,99
Ireland,99,99
Afghanistan,43,12
Japan,99,99
North Korea,100,100
South Korea,99,97
Laos,83,63
Vietnam,96,92
